ID_Partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
46,IA_medio,20,Victoria,6,Si
46,IA_dificil,17,Derrota,6,Si
47,IA_facil,18,Derrota,6,Si
47,IA_medio,19,Derrota,6,Si
47,IA_dificil,21,Victoria,7,Si
48,IA_facil,19,Derrota,5,Si
48,IA_medio,17,Derrota,6,Si
48,IA_dificil,20,Victoria,8,Si
49,IA_facil,17,Derrota,4,Si
49,IA_medio,17,Derrota,5,Si
49,IA_dificil,21,Victoria,6,Si
50,IA_facil,20,Victoria,5,Si
50,IA_medio,22,Derrota,4,Si
50,IA_dificil,22,Derrota,5,Si
51,IA_facil,19,Derrota,5,Si
51,IA_medio,18,Derrota,7,Si
51,IA_dificil,21,Victoria,8,Si
52,IA_facil,19,Derrota,5,Si
52,IA_medio,23,Derrota,7,Si
52,IA_dificil,21,Victoria,5,Si
53,IA_facil,18,Derrota,4,Si
53,IA_medio,22,Derrota,7,Si
53,IA_dificil,19,Victoria,4,Si
54,IA_facil,17,Derrota,4,Si
54,IA_medio,17,Derrota,4,Si
54,IA_dificil,20,Victoria,5,Si
55,IA_facil,21,Victoria,6,Si
55,IA_medio,19,Derrota,6,Si
55,IA_dificil,18,Derrota,5,Si
56,IA_facil,21,Victoria,4,Si
56,IA_medio,23,Derrota,5,Si
56,IA_dificil,18,Derrota,7,Si
57,IA_facil,17,Derrota,6,Si
57,IA_medio,23,Derrota,8,Si
57,IA_dificil,20,Victoria,8,Si
58,IA_facil,20,Empate,6,Si
58,IA_medio,20,Empate,5,Si
58,IA_dificil,22,Derrota,7,Si
59,IA_facil,18,Empate,6,Si
59,IA_medio,18,Empate,7,Si
59,IA_dificil,17,Derrota,4,Si
60,IA_facil,21,Empate,4,Si
60,IA_medio,21,Empate,4,Si
60,IA_dificil,21,Empate,6,Si
61,IA_facil,17,Derrota,5,Si
61,IA_medio,21,Victoria,5,Si
61,IA_dificil,23,Derrota,7,Si
62,IA_facil,18,Derrota,6,Si
62,IA_medio,19,Victoria,7,Si
62,IA_dificil,17,Derrota,5,Si
63,IA_facil,20,Derrota,5,Si
63,IA_medio,20,Derrota,6,Si
63,IA_dificil,21,Victoria,5,Si
64,IA_facil,17,Empate,5,Si
64,IA_medio,17,Empate,7,Si
64,IA_dificil,17,Empate,6,Si
65,IA_facil,21,Victoria,6,Si
65,IA_medio,20,Derrota,4,Si
65,IA_dificil,19,Derrota,5,Si
66,IA_facil,17,Derrota,6,Si
66,IA_medio,21,Victoria,6,Si
66,IA_dificil,18,Derrota,4,Si
67,IA_facil,19,Victoria,6,Si
67,IA_medio,17,Derrota,4,Si
67,IA_dificil,17,Derrota,5,Si
68,IA_facil,18,Derrota,6,Si
68,IA_medio,20,Victoria,7,Si
68,IA_dificil,18,Derrota,5,Si
69,IA_facil,20,Victoria,5,Si
69,IA_medio,23,Derrota,6,Si
69,IA_dificil,19,Derrota,5,Si
70,IA_facil,21,Victoria,7,Si
70,IA_medio,18,Derrota,8,Si
70,IA_dificil,22,Derrota,5,Si
71,IA_facil,18,Empate,5,Si
71,IA_medio,18,Empate,6,Si
71,IA_dificil,17,Derrota,6,Si
72,IA_facil,17,Derrota,6,Si
72,IA_medio,22,Derrota,5,Si
72,IA_dificil,21,Victoria,5,Si
73,IA_facil,22,Derrota,6,Si
73,IA_medio,22,Derrota,6,Si
73,IA_dificil,21,Victoria,6,Si
74,IA_facil,20,Victoria,5,Si
74,IA_medio,22,Derrota,6,Si
74,IA_dificil,25,Derrota,6,Si
75,IA_facil,20,Victoria,4,Si
75,IA_medio,19,Derrota,7,Si
75,IA_dificil,18,Derrota,4,Si
76,IA_facil,21,Victoria,5,Si
76,IA_medio,19,Derrota,5,Si
76,IA_dificil,17,Derrota,6,Si
77,IA_facil,18,Derrota,5,Si
77,IA_medio,21,Victoria,5,Si
77,IA_dificil,19,Derrota,5,Si
78,IA_facil,19,Victoria,5,Si
78,IA_medio,24,Derrota,8,Si
78,IA_dificil,18,Derrota,4,Si
79,IA_facil,20,Victoria,7,Si
79,IA_medio,22,Derrota,7,Si
79,IA_dificil,22,Derrota,6,Si
80,IA_facil,18,Derrota,4,Si
80,IA_medio,19,Victoria,5,Si
80,IA_dificil,18,Derrota,7,Si
81,IA_facil,20,Derrota,7,Si
81,IA_medio,22,Derrota,4,Si
81,IA_dificil,21,Victoria,6,Si
82,IA_facil,18,Derrota,4,Si
82,IA_medio,21,Victoria,8,Si
82,IA_dificil,18,Derrota,3,Si
83,IA_facil,21,Empate,5,Si
83,IA_medio,21,Empate,7,Si
83,IA_dificil,25,Derrota,5,Si
84,IA_facil,17,Empate,5,Si
84,IA_medio,23,Derrota,5,Si
84,IA_dificil,17,Empate,5,Si
85,IA_facil,20,Victoria,5,Si
85,IA_medio,24,Derrota,8,Si
85,IA_dificil,22,Derrota,7,Si
86,IA_facil,18,Victoria,8,Si
86,IA_medio,22,Derrota,6,Si
86,IA_dificil,17,Derrota,5,Si
87,IA_facil,19,Derrota,6,Si
87,IA_medio,17,Derrota,5,Si
87,IA_dificil,20,Victoria,4,Si
88,IA_facil,18,Derrota,6,Si
88,IA_medio,20,Victoria,4,Si
88,IA_dificil,18,Derrota,5,Si
89,IA_facil,17,Derrota,4,Si
89,IA_medio,19,Victoria,7,Si
89,IA_dificil,17,Derrota,4,Si
90,IA_facil,19,Empate,5,Si
90,IA_medio,19,Empate,6,Si
90,IA_dificil,18,Derrota,5,Si
91,IA_facil,18,Derrota,7,Si
91,IA_medio,21,Victoria,5,Si
91,IA_dificil,17,Derrota,6,Si
92,IA_facil,19,Empate,4,Si
92,IA_medio,17,Derrota,7,Si
92,IA_dificil,19,Empate,5,Si
93,IA_facil,17,Derrota,7,Si
93,IA_medio,24,Derrota,5,Si
93,IA_dificil,20,Victoria,5,Si
94,IA_facil,19,Derrota,5,Si
94,IA_medio,17,Derrota,4,Si
94,IA_dificil,21,Victoria,5,Si
95,IA_facil,20,Empate,5,Si
95,IA_medio,22,Derrota,6,Si
95,IA_dificil,20,Empate,6,Si
96,IA_facil,22,Derrota,5,Si
96,IA_medio,19,Victoria,7,Si
96,IA_dificil,17,Derrota,7,Si
97,IA_facil,21,Victoria,4,Si
97,IA_medio,17,Derrota,6,Si
97,IA_dificil,17,Derrota,4,Si
98,IA_facil,19,Derrota,6,Si
98,IA_medio,21,Victoria,8,Si
98,IA_dificil,17,Derrota,6,Si
99,IA_facil,17,Derrota,5,Si
99,IA_medio,21,Victoria,4,Si
99,IA_dificil,17,Derrota,4,Si
100,IA_facil,17,Derrota,4,Si
100,IA_medio,22,Derrota,7,Si
100,IA_dificil,20,Victoria,6,Si
